,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
69018,25.04.2010 07:30:00,998.2,7.2,280.5,1.71,67.98,10.17,6.91,3.26,4.32,6.92,1237.07,1.08,1.72,157.7
69024,25.04.2010 08:30:00,997.99,10.2,283.52,2.57,58.99,12.46,7.35,5.11,4.59,7.36,1223.5,1.07,1.68,170.4
69030,25.04.2010 09:30:00,997.95,15.41,288.74,4.68,48.69,17.53,8.54,9.0,5.34,8.56,1200.83,0.7,1.52,168.8
69036,25.04.2010 10:30:00,997.76,18.23,291.58,4.69,40.72,20.97,8.54,12.43,5.34,8.56,1188.97,1.33,3.04,180.4
69042,25.04.2010 11:30:00,997.17,18.78,292.18,3.24,35.51,21.71,7.71,14.0,4.82,7.73,1186.41,3.56,4.88,139.4
69048,25.04.2010 12:30:00,996.48,20.36,293.82,3.35,32.46,23.95,7.77,16.17,4.87,7.8,1179.17,1.68,4.52,215.3
69054,25.04.2010 13:30:00,996.01,20.79,294.29,3.76,32.54,24.59,8.0,16.59,5.01,8.03,1176.79,1.95,3.96,87.7
69060,25.04.2010 14:30:00,995.5,21.6,295.14,2.55,28.41,25.84,7.34,18.5,4.6,7.38,1173.25,3.02,5.92,125.4
69066,25.04.2010 15:30:00,994.83,21.88,295.48,3.58,30.04,26.29,7.9,18.39,4.95,7.94,1171.09,2.88,5.44,144.8
69072,25.04.2010 16:30:00,994.63,21.4,295.01,5.03,34.26,25.53,8.75,16.78,5.49,8.79,1172.39,3.94,5.4,81.0
69078,25.04.2010 17:30:00,994.49,20.63,294.26,6.15,38.83,24.35,9.45,14.89,5.93,9.51,1174.97,3.78,5.12,45.02
69084,25.04.2010 18:30:00,994.39,19.62,293.25,5.99,40.87,22.87,9.35,13.53,5.87,9.4,1178.96,2.92,5.2,61.04
69090,25.04.2010 19:30:00,994.64,18.32,291.93,5.82,43.82,21.09,9.24,11.85,5.8,9.29,1184.56,1.21,1.84,285.1
69096,25.04.2010 20:30:00,994.76,16.46,290.06,6.18,50.54,18.75,9.48,9.27,5.95,9.53,1192.2,0.3,0.6,247.1
69102,25.04.2010 21:30:00,994.64,15.07,288.67,6.25,55.5,17.16,9.52,7.63,5.98,9.57,1197.79,0.29,0.52,206.1
69108,25.04.2010 22:30:00,994.29,13.2,286.83,5.97,61.47,15.2,9.34,5.85,5.86,9.39,1205.27,0.37,0.62,160.5
69114,25.04.2010 23:30:00,994.17,12.9,286.54,5.53,60.79,14.9,9.06,5.84,5.69,9.11,1206.51,1.38,2.52,214.4
69120,26.04.2010 00:30:00,993.77,10.86,284.53,4.97,66.89,13.02,8.71,4.31,5.47,8.76,1214.86,1.18,1.92,217.3
69126,26.04.2010 01:30:00,993.38,10.21,283.91,4.84,69.25,12.47,8.63,3.83,5.42,8.69,1217.19,0.63,1.0,192.7
69132,26.04.2010 02:30:00,992.97,9.95,283.68,4.43,68.45,12.25,8.39,3.87,5.27,8.45,1217.93,1.03,2.0,197.2
69138,26.04.2010 03:30:00,992.77,9.14,282.89,4.15,70.9,11.6,8.23,3.38,5.17,8.29,1221.25,0.89,2.36,191.4
69144,26.04.2010 04:30:00,992.53,7.28,281.04,3.8,78.5,10.22,8.02,2.2,5.04,8.08,1229.15,0.75,1.38,184.1
69150,26.04.2010 05:30:00,993.25,8.48,282.19,4.01,73.4,11.09,8.14,2.95,5.12,8.2,1224.75,1.2,2.64,137.8
69156,26.04.2010 06:30:00,993.87,11.42,285.08,5.67,67.68,13.52,9.15,4.37,5.74,9.2,1212.38,1.7,4.4,261.2
69162,26.04.2010 07:30:00,994.16,13.33,286.97,6.44,62.95,15.33,9.65,5.68,6.06,9.7,1204.42,3.03,5.28,253.2
69168,26.04.2010 08:30:00,994.98,12.16,285.73,6.76,69.5,14.19,9.86,4.33,6.19,9.91,1210.26,3.28,5.88,264.3
69174,26.04.2010 09:30:00,995.03,10.29,283.85,8.26,87.2,12.54,10.93,1.6,6.86,10.99,1217.82,1.24,1.92,284.1
69180,26.04.2010 10:30:00,995.59,10.38,283.9,8.81,90.0,12.61,11.35,1.26,7.12,11.4,1217.92,1.36,1.96,152.9
69186,26.04.2010 11:30:00,995.52,11.89,285.42,9.61,85.9,13.94,11.98,1.97,7.52,12.03,1211.09,1.8,2.84,126.8
69192,26.04.2010 12:30:00,995.35,13.92,287.46,9.19,73.1,15.93,11.64,4.28,7.31,11.7,1202.48,1.44,4.0,12.46
69198,26.04.2010 13:30:00,995.08,15.53,289.1,8.09,61.13,17.67,10.8,6.87,6.78,10.86,1195.82,1.91,4.6,279.7
69204,26.04.2010 14:30:00,994.64,16.88,290.49,6.75,51.18,19.26,9.86,9.4,6.19,9.91,1190.16,2.56,6.79,278.8
69210,26.04.2010 15:30:00,994.59,16.53,290.14,6.97,53.11,18.84,10.0,8.83,6.28,10.06,1191.47,1.54,3.5,280.2
69216,26.04.2010 16:30:00,994.72,16.47,290.07,6.73,52.46,18.76,9.84,8.92,6.18,9.9,1191.95,2.25,5.34,289.3
69222,26.04.2010 17:30:00,995.24,15.6,289.15,6.45,54.38,17.75,9.65,8.1,6.05,9.7,1196.26,3.51,7.3,260.0
69228,26.04.2010 18:30:00,995.6,13.44,286.96,6.61,63.25,15.44,9.76,5.67,6.12,9.81,1205.66,1.14,3.6,297.2
69234,26.04.2010 19:30:00,995.87,12.56,286.06,6.59,66.88,14.57,9.75,4.83,6.11,9.79,1209.7,0.67,1.6,287.4
69240,26.04.2010 20:30:00,996.39,12.43,285.89,6.27,65.98,14.45,9.53,4.92,5.97,9.57,1210.99,1.76,3.16,264.7
69246,26.04.2010 21:30:00,996.9,11.83,285.24,6.73,70.9,13.89,9.85,4.04,6.17,9.88,1214.02,1.81,2.76,266.1
69252,26.04.2010 22:30:00,997.18,11.03,284.42,6.74,74.8,13.17,9.85,3.32,6.17,9.88,1217.78,2.18,3.8,267.6
69258,26.04.2010 23:30:00,997.15,10.1,283.49,6.82,80.0,12.38,9.9,2.48,6.2,9.93,1221.72,2.81,4.56,255.2
69264,27.04.2010 00:30:00,997.47,10.44,283.81,6.46,76.3,12.66,9.66,3.0,6.05,9.69,1220.76,3.56,5.21,253.6
69270,27.04.2010 01:30:00,997.52,10.34,283.7,6.53,77.2,12.58,9.71,2.87,6.08,9.73,1221.23,3.35,5.29,253.8
69276,27.04.2010 02:30:00,997.64,10.1,283.45,6.72,79.5,12.38,9.84,2.54,6.16,9.86,1222.35,2.79,4.76,252.2
69282,27.04.2010 03:30:00,997.66,9.81,283.16,6.79,81.4,12.14,9.88,2.26,6.18,9.9,1223.61,2.03,3.88,250.5
69288,27.04.2010 04:30:00,997.66,9.37,282.72,6.59,82.7,11.78,9.75,2.04,6.1,9.77,1225.58,1.33,2.2,243.5
69294,27.04.2010 05:30:00,997.97,8.84,282.16,6.55,85.5,11.37,9.72,1.65,6.08,9.74,1228.28,0.73,1.52,238.2
69300,27.04.2010 06:30:00,998.51,10.7,283.98,7.25,79.2,12.88,10.2,2.68,6.38,10.22,1220.66,1.12,1.74,219.7
69306,27.04.2010 07:30:00,998.85,11.65,284.9,7.32,74.7,13.72,10.25,3.47,6.41,10.26,1216.99,2.48,4.48,261.9
69312,27.04.2010 08:30:00,999.38,10.97,284.18,5.89,70.8,13.12,9.29,3.83,5.8,9.29,1221.0,3.24,5.64,261.9
69318,27.04.2010 09:30:00,999.46,12.97,286.17,5.92,62.17,14.97,9.31,5.66,5.81,9.31,1212.55,3.9,7.77,249.5
69324,27.04.2010 10:30:00,999.81,13.39,286.57,6.27,61.96,15.39,9.53,5.85,5.95,9.53,1211.09,2.12,6.04,252.1
69330,27.04.2010 11:30:00,999.9,14.19,287.36,6.01,57.78,16.21,9.36,6.84,5.85,9.37,1207.91,2.58,5.12,262.0
69336,27.04.2010 12:30:00,999.87,15.05,288.22,5.39,52.34,17.13,8.97,8.17,5.6,8.97,1204.45,3.17,5.56,260.0
69342,27.04.2010 13:30:00,999.58,15.48,288.68,4.2,46.86,17.61,8.25,9.36,5.15,8.26,1202.63,2.21,5.48,288.6
69348,27.04.2010 14:30:00,999.44,15.91,289.12,4.31,45.92,18.11,8.31,9.79,5.19,8.32,1200.65,2.28,4.8,310.5
69354,27.04.2010 15:30:00,999.39,15.6,288.81,4.28,46.74,17.75,8.3,9.45,5.18,8.3,1201.88,2.14,5.04,337.5
69360,27.04.2010 16:30:00,999.16,16.04,289.27,4.66,46.68,18.26,8.52,9.73,5.32,8.53,1199.68,2.22,5.16,279.2
69366,27.04.2010 17:30:00,999.3,15.41,288.63,4.67,48.65,17.53,8.53,9.0,5.33,8.54,1202.45,2.08,3.48,338.8
69372,27.04.2010 18:30:00,999.31,14.89,288.11,4.32,49.08,16.96,8.32,8.63,5.2,8.33,1204.73,1.17,1.92,298.4
69378,27.04.2010 19:30:00,999.61,13.17,286.36,3.96,53.52,15.17,8.12,7.05,5.07,8.12,1212.44,1.07,1.8,253.6
69384,27.04.2010 20:30:00,1000.24,12.46,285.6,4.64,58.79,14.48,8.51,5.97,5.31,8.51,1216.03,1.14,1.72,14.96
69390,27.04.2010 21:30:00,1000.52,10.09,283.21,4.29,67.14,12.37,8.3,4.06,5.18,8.3,1226.65,1.03,1.86,228.8
69396,27.04.2010 22:30:00,1000.72,8.51,281.61,4.02,73.3,11.12,8.15,2.97,5.08,8.14,1233.85,1.58,2.52,230.1
69402,27.04.2010 23:30:00,1000.78,7.39,280.49,3.78,77.8,10.3,8.01,2.29,5.0,8.01,1238.91,0.91,1.72,220.5
69408,28.04.2010 00:30:00,1000.87,6.02,279.11,3.41,83.3,9.37,7.81,1.57,4.87,7.8,1245.21,0.67,1.28,177.0
69414,28.04.2010 01:30:00,1001.02,5.22,278.3,3.09,86.1,8.86,7.63,1.23,4.76,7.62,1249.06,0.58,0.96,199.1
69420,28.04.2010 02:30:00,1000.7,4.38,277.48,2.65,88.5,8.36,7.4,0.96,4.61,7.39,1252.54,0.94,1.6,185.1
69426,28.04.2010 03:30:00,1000.66,3.8,276.91,2.28,89.8,8.02,7.2,0.82,4.49,7.2,1255.22,1.23,2.16,192.0
69432,28.04.2010 04:30:00,1000.82,3.01,276.11,1.92,92.5,7.59,7.02,0.57,4.37,7.01,1259.07,0.71,1.36,207.3
69438,28.04.2010 05:30:00,1000.89,3.36,276.45,2.41,93.5,7.78,7.27,0.51,4.53,7.26,1257.48,1.17,2.18,147.5
69444,28.04.2010 06:30:00,1000.91,6.07,279.16,2.8,79.5,9.4,7.48,1.93,4.66,7.47,1245.19,0.6,1.12,141.1
69450,28.04.2010 07:30:00,1001.03,7.43,280.51,3.17,74.3,10.33,7.67,2.65,4.78,7.67,1239.21,0.98,1.72,140.1
69456,28.04.2010 08:30:00,1000.63,9.73,282.84,4.58,70.2,12.07,8.48,3.6,5.29,8.47,1228.27,1.35,2.4,170.8
69462,28.04.2010 09:30:00,1000.28,12.99,286.13,5.8,61.56,14.99,9.23,5.76,5.76,9.22,1213.5,1.77,2.76,128.0
69468,28.04.2010 10:30:00,1000.34,15.05,288.18,4.9,50.58,17.13,8.67,8.47,5.41,8.66,1205.16,2.48,3.8,151.8
69474,28.04.2010 11:30:00,999.67,16.49,289.68,4.18,43.87,18.79,8.24,10.55,5.14,8.25,1198.55,2.61,4.32,167.5
69480,28.04.2010 12:30:00,999.06,17.54,290.78,4.34,41.51,20.08,8.34,11.75,5.21,8.34,1193.45,2.35,3.96,140.7
69486,28.04.2010 13:30:00,998.36,17.88,291.18,3.74,38.95,20.52,7.99,12.53,4.99,8.0,1191.37,1.68,4.0,132.5
69492,28.04.2010 14:30:00,997.58,18.89,292.25,3.11,34.96,21.86,7.64,14.22,4.78,7.66,1186.48,2.28,4.96,118.9
69498,28.04.2010 15:30:00,996.72,20.3,293.74,2.84,31.42,23.86,7.5,16.36,4.69,7.52,1179.82,1.51,3.28,167.6
69504,28.04.2010 16:30:00,995.98,20.27,293.77,2.99,31.82,23.81,7.58,16.24,4.75,7.61,1179.03,1.27,3.56,123.7
69510,28.04.2010 17:30:00,995.47,20.19,293.73,3.27,32.61,23.7,7.73,15.97,4.84,7.76,1178.67,1.13,1.94,225.6
69516,28.04.2010 18:30:00,994.99,17.93,291.51,5.19,42.99,20.58,8.85,11.73,5.55,8.89,1186.75,3.17,4.8,27.07
69522,28.04.2010 19:30:00,995.0,16.9,290.48,5.55,47.02,19.28,9.07,10.22,5.69,9.11,1190.88,2.22,3.92,30.44
69528,28.04.2010 20:30:00,995.23,15.13,288.68,5.67,53.11,17.22,9.15,8.08,5.74,9.19,1198.43,0.48,0.96,359.5
69534,28.04.2010 21:30:00,995.22,13.58,287.13,5.58,58.35,15.58,9.09,6.49,5.7,9.13,1204.92,0.48,0.72,195.1
69540,28.04.2010 22:30:00,994.44,12.67,286.29,5.05,59.7,14.68,8.76,5.91,5.5,8.81,1207.95,0.96,1.44,215.3
69546,28.04.2010 23:30:00,994.08,9.66,283.3,4.57,70.5,12.02,8.47,3.54,5.32,8.52,1220.5,1.41,2.04,226.3
69552,29.04.2010 00:30:00,993.97,8.9,282.55,4.38,73.2,11.42,8.36,3.06,5.25,8.41,1223.71,1.28,2.04,212.6
69558,29.04.2010 01:30:00,993.78,8.5,282.16,4.11,73.8,11.11,8.2,2.91,5.15,8.25,1225.28,1.65,2.84,192.1
69564,29.04.2010 02:30:00,993.09,7.48,281.2,3.82,77.5,10.36,8.03,2.33,5.05,8.09,1228.96,1.74,3.28,173.9
69570,29.04.2010 03:30:00,992.64,6.28,280.03,3.5,82.3,9.54,7.85,1.69,4.94,7.91,1233.76,1.05,2.04,175.1
69576,29.04.2010 04:30:00,992.14,5.57,279.36,3.18,84.5,9.09,7.68,1.41,4.83,7.74,1236.35,1.48,2.2,174.1
69582,29.04.2010 05:30:00,991.44,5.72,279.56,3.25,84.1,9.18,7.72,1.46,4.86,7.78,1234.81,1.44,2.96,203.7
69588,29.04.2010 06:30:00,991.35,7.7,281.56,3.79,76.2,10.52,8.02,2.5,5.05,8.09,1225.85,1.54,2.28,173.1
69594,29.04.2010 07:30:00,991.1,10.25,284.14,4.74,68.56,12.5,8.57,3.93,5.4,8.65,1214.25,1.38,2.52,159.1
69600,29.04.2010 08:30:00,990.61,13.62,287.55,6.08,60.25,15.62,9.41,6.21,5.93,9.5,1199.0,1.56,3.0,176.8
69606,29.04.2010 09:30:00,989.99,17.61,291.61,6.93,49.49,20.17,9.98,10.19,6.3,10.08,1181.55,2.53,4.04,134.3
69612,29.04.2010 10:30:00,989.38,21.58,295.64,6.21,36.79,25.81,9.5,16.32,5.99,9.6,1165.13,3.07,5.12,206.5
69618,29.04.2010 11:30:00,988.61,22.18,296.31,5.74,34.34,26.77,9.19,17.58,5.8,9.3,1161.99,4.21,7.14,222.7
69624,29.04.2010 12:30:00,987.58,23.51,297.73,5.2,30.51,29.02,8.85,20.17,5.6,8.96,1155.72,5.07,8.36,210.0
69630,29.04.2010 13:30:00,986.91,23.77,298.05,5.09,29.81,29.48,8.79,20.69,5.56,8.9,1153.95,5.48,8.12,200.5
69636,29.04.2010 14:30:00,986.25,24.19,298.53,4.87,28.62,30.23,8.65,21.58,5.47,8.77,1151.61,5.7,8.0,221.6
69642,29.04.2010 15:30:00,985.52,24.44,298.84,4.9,28.25,30.68,8.67,22.02,5.49,8.8,1149.78,5.45,8.48,225.1
69648,29.04.2010 16:30:00,984.97,24.03,298.48,5.46,30.1,29.94,9.01,20.93,5.71,9.15,1150.57,3.03,4.72,247.8
69654,29.04.2010 17:30:00,984.44,24.05,298.55,5.44,30.02,29.98,9.0,20.98,5.71,9.14,1149.88,4.13,5.64,232.2
69660,29.04.2010 18:30:00,983.96,22.74,297.27,5.33,32.24,27.7,8.93,18.77,5.66,9.08,1154.43,1.76,2.28,234.6
69666,29.04.2010 19:30:00,983.72,20.75,295.29,4.98,35.54,24.53,8.72,15.81,5.53,8.86,1162.06,2.9,3.24,239.5
69672,29.04.2010 20:30:00,983.76,19.58,294.11,5.08,38.47,22.82,8.78,14.04,5.57,8.92,1166.73,1.38,2.64,202.7
69678,29.04.2010 21:30:00,983.59,17.14,291.68,5.62,46.54,19.58,9.11,10.47,5.78,9.26,1176.18,1.16,1.96,211.8
69684,29.04.2010 22:30:00,983.05,15.71,290.29,6.04,52.5,17.88,9.38,8.49,5.96,9.55,1181.22,0.83,1.56,130.7
69690,29.04.2010 23:30:00,982.73,14.5,289.1,5.78,55.75,16.54,9.22,7.32,5.86,9.38,1185.88,0.57,1.44,221.3
69696,30.04.2010 00:30:00,982.11,12.39,287.03,6.38,66.66,14.41,9.61,4.8,6.11,9.78,1193.71,0.73,2.16,146.1
69702,30.04.2010 01:30:00,981.46,11.3,285.99,6.55,72.5,13.41,9.72,3.69,6.18,9.9,1197.43,0.84,2.16,99.3
69708,30.04.2010 02:30:00,981.22,11.3,286.01,6.57,72.6,13.41,9.73,3.67,6.19,9.92,1197.13,0.74,2.24,101.2
69714,30.04.2010 03:30:00,980.83,11.05,285.79,6.57,73.8,13.19,9.73,3.46,6.19,9.92,1197.71,0.56,1.28,24.14
69720,30.04.2010 04:30:00,980.73,11.87,286.62,6.65,70.3,13.92,9.79,4.14,6.23,9.98,1194.12,0.9,2.04,247.5
69726,30.04.2010 05:30:00,980.61,14.55,289.33,7.31,61.76,16.59,10.25,6.34,6.52,10.45,1182.64,1.13,4.26,119.2
69732,30.04.2010 06:30:00,980.85,14.19,288.94,7.69,64.87,16.21,10.51,5.69,6.69,10.72,1184.29,1.23,3.08,183.0
69738,30.04.2010 07:30:00,981.34,19.06,293.8,9.91,55.3,22.09,12.22,9.87,7.78,12.45,1164.37,4.63,8.01,205.9
69744,30.04.2010 08:30:00,981.47,19.61,294.34,10.63,56.1,22.86,12.82,10.04,8.17,13.07,1162.06,5.37,9.09,218.0
69750,30.04.2010 09:30:00,981.69,20.55,295.27,9.84,50.2,24.23,12.16,12.07,7.74,12.39,1158.9,5.8,9.61,232.3
69756,30.04.2010 10:30:00,981.76,20.74,295.45,7.59,42.58,24.51,10.44,14.08,6.64,10.63,1159.01,5.44,11.45,216.9
69762,30.04.2010 11:30:00,981.66,21.6,296.32,6.83,38.34,25.84,9.91,15.93,6.3,10.09,1155.74,7.56,10.44,217.3
69768,30.04.2010 12:30:00,981.46,21.99,296.73,7.14,38.25,26.47,10.12,16.34,6.44,10.31,1153.88,5.11,9.48,215.8
69774,30.04.2010 13:30:00,981.29,21.58,296.34,6.81,38.35,25.81,9.9,15.91,6.3,10.09,1155.39,6.55,9.44,211.9
69780,30.04.2010 14:30:00,981.66,21.69,296.42,8.32,42.23,25.99,10.97,15.01,6.98,11.18,1154.91,3.74,8.2,248.0
69786,30.04.2010 15:30:00,981.64,20.76,295.48,6.55,39.61,24.54,9.72,14.82,6.18,9.9,1159.11,6.88,9.66,217.9
69792,30.04.2010 16:30:00,981.71,20.37,295.08,7.58,43.54,23.96,10.43,13.53,6.64,10.63,1160.41,2.48,4.96,264.8
69798,30.04.2010 17:30:00,981.94,19.55,294.24,7.54,45.7,22.78,10.41,12.37,6.62,10.6,1163.95,3.06,5.56,279.9
69804,30.04.2010 18:30:00,982.31,18.42,293.07,7.24,48.04,21.22,10.2,11.03,6.48,10.38,1168.99,1.79,3.68,290.2
69810,30.04.2010 19:30:00,982.73,17.29,291.9,7.23,51.54,19.77,10.19,9.58,6.47,10.37,1174.05,1.12,2.44,314.7
69816,30.04.2010 20:30:00,983.37,16.13,290.68,7.34,55.89,18.36,10.26,8.1,6.52,10.44,1179.49,0.96,1.96,253.8
69822,30.04.2010 21:30:00,983.77,13.98,288.49,8.75,70.7,15.99,11.3,4.68,7.18,11.49,1188.33,2.88,3.52,240.1
69828,30.04.2010 22:30:00,983.93,12.96,287.45,10.15,83.0,14.96,12.42,2.54,7.89,12.62,1192.25,1.6,2.06,198.3
69834,30.04.2010 23:30:00,983.95,12.45,286.93,10.69,89.0,14.47,12.88,1.59,8.18,13.09,1194.19,0.77,1.32,138.6
69840,01.05.2010 00:30:00,983.96,12.35,286.83,10.39,87.8,14.37,12.62,1.75,8.02,12.82,1194.74,1.43,2.36,281.2
69846,01.05.2010 01:30:00,983.91,12.08,286.57,10.63,90.8,14.12,12.82,1.3,8.14,13.03,1195.72,0.57,0.88,266.7
69852,01.05.2010 02:30:00,983.82,11.67,286.16,10.01,89.5,13.74,12.3,1.44,7.81,12.5,1197.57,1.34,2.44,239.8
69858,01.05.2010 03:30:00,984.25,11.72,286.18,9.13,84.1,13.79,11.59,2.19,7.36,11.78,1198.21,2.15,4.04,262.7
69864,01.05.2010 04:30:00,983.84,10.26,284.74,7.82,84.8,12.51,10.61,1.9,6.73,10.78,1204.34,0.67,1.48,288.2
69870,01.05.2010 05:30:00,984.19,9.85,284.3,7.83,87.2,12.17,10.61,1.56,6.73,10.78,1206.51,2.21,3.7,285.3
69876,01.05.2010 06:30:00,984.39,10.57,285.01,8.28,85.7,12.77,10.95,1.83,6.95,11.12,1203.54,1.11,1.52,228.4
69882,01.05.2010 07:30:00,984.3,11.16,285.61,8.39,83.0,13.28,11.03,2.26,7.0,11.2,1200.9,0.65,1.3,140.3
69888,01.05.2010 08:30:00,984.08,12.2,286.67,8.93,80.4,14.23,11.44,2.79,7.26,11.63,1196.06,0.85,1.76,169.0
69894,01.05.2010 09:30:00,983.97,12.42,286.9,9.15,80.4,14.44,11.61,2.83,7.37,11.8,1194.93,0.71,1.4,51.65
69900,01.05.2010 10:30:00,983.84,12.66,287.15,8.89,77.8,14.67,11.41,3.26,7.25,11.6,1193.86,0.96,2.4,291.3
69906,01.05.2010 11:30:00,983.79,13.59,288.09,8.55,71.5,15.59,11.14,4.44,7.08,11.33,1190.05,1.32,2.96,35.41
69912,01.05.2010 12:30:00,983.61,13.63,288.15,9.27,74.9,15.63,11.71,3.92,7.44,11.9,1189.4,0.81,1.68,337.5
69918,01.05.2010 13:30:00,983.46,14.11,288.64,8.3,67.99,16.12,10.96,5.16,6.96,11.15,1187.58,2.44,4.08,271.8
69924,01.05.2010 14:30:00,982.95,14.66,289.24,7.18,60.75,16.71,10.15,6.56,6.45,10.33,1185.06,3.09,5.4,223.9
69930,01.05.2010 15:30:00,982.86,14.13,288.71,7.98,66.43,16.14,10.72,5.42,6.82,10.91,1186.87,3.21,5.24,220.6
69936,01.05.2010 16:30:00,982.62,13.76,288.36,7.51,65.91,15.76,10.39,5.37,6.6,10.57,1188.27,4.12,6.0,211.0
69942,01.05.2010 17:30:00,982.51,14.17,288.78,7.32,63.33,16.19,10.25,5.94,6.52,10.43,1186.5,2.95,4.8,215.1
69948,01.05.2010 18:30:00,982.35,14.06,288.69,7.29,63.65,16.07,10.23,5.84,6.5,10.41,1186.77,2.71,4.4,212.9
69954,01.05.2010 19:30:00,982.59,13.62,288.22,7.59,66.88,15.62,10.45,5.17,6.64,10.63,1188.79,0.42,0.98,265.2
69960,01.05.2010 20:30:00,983.44,12.84,287.37,7.45,69.68,14.84,10.34,4.5,6.57,10.52,1193.11,1.83,2.16,250.2
69966,01.05.2010 21:30:00,983.71,12.39,286.89,7.44,71.7,14.41,10.33,4.08,6.56,10.5,1195.33,1.17,2.04,240.8
69972,01.05.2010 22:30:00,983.89,11.63,286.12,7.42,75.3,13.7,10.32,3.39,6.55,10.49,1198.74,0.8,1.16,221.6
69978,01.05.2010 23:30:00,983.81,11.39,285.88,6.6,72.3,13.49,9.75,3.74,6.19,9.91,1199.92,2.2,2.44,237.8
69984,02.05.2010 00:30:00,984.46,9.97,284.4,7.62,85.3,12.27,10.47,1.8,6.64,10.63,1206.4,1.84,2.58,0.34
69990,02.05.2010 01:30:00,984.51,9.47,283.89,7.01,84.6,11.86,10.04,1.83,6.37,10.19,1208.8,1.41,2.92,34.47
69996,02.05.2010 02:30:00,984.55,8.93,283.35,7.06,88.0,11.44,10.07,1.37,6.38,10.22,1211.15,0.91,1.68,7.25
70002,02.05.2010 03:30:00,984.44,8.61,283.04,6.76,88.1,11.19,9.86,1.33,6.25,10.02,1212.48,0.41,0.72,96.5
70008,02.05.2010 04:30:00,984.46,8.12,282.54,6.42,89.0,10.83,9.64,1.19,6.11,9.79,1214.73,1.19,2.32,327.5
70014,02.05.2010 05:30:00,984.4,8.1,282.53,6.43,89.2,10.81,9.64,1.17,6.12,9.8,1214.73,0.87,1.32,351.9
70020,02.05.2010 06:30:00,984.43,9.23,283.66,6.69,84.1,11.67,9.82,1.86,6.23,9.97,1209.83,2.11,2.6,0.76
70026,02.05.2010 07:30:00,984.56,9.62,284.04,6.6,81.4,11.98,9.75,2.23,6.19,9.91,1208.35,1.99,3.0,30.66
70032,02.05.2010 08:30:00,984.49,9.73,284.16,6.83,82.1,12.07,9.91,2.16,6.29,10.07,1207.72,2.55,3.6,32.91
70038,02.05.2010 09:30:00,984.42,9.85,284.28,6.97,82.2,12.17,10.0,2.17,6.35,10.16,1207.08,3.52,4.44,33.61
70044,02.05.2010 10:30:00,984.33,10.9,285.35,7.43,79.1,13.06,10.33,2.73,6.55,10.49,1202.36,3.51,5.37,26.5
70050,02.05.2010 11:30:00,984.03,11.69,286.16,7.55,75.7,13.76,10.42,3.34,6.61,10.58,1198.62,3.01,5.2,28.49
70056,02.05.2010 12:30:00,983.65,11.93,286.44,7.33,73.4,13.98,10.26,3.72,6.51,10.43,1197.21,3.04,4.16,29.96
70062,02.05.2010 13:30:00,983.34,12.6,287.14,7.66,71.8,14.61,10.49,4.12,6.66,10.67,1193.92,2.8,3.82,28.13
70068,02.05.2010 14:30:00,982.86,11.66,286.23,8.46,80.7,13.73,11.08,2.65,7.04,11.27,1197.0,2.6,3.88,54.67
70074,02.05.2010 15:30:00,982.64,10.92,285.51,9.2,89.1,13.07,11.65,1.43,7.41,11.85,1199.59,1.64,2.8,22.5
70080,02.05.2010 16:30:00,982.59,10.78,285.37,9.6,92.4,12.95,11.97,0.98,7.61,12.18,1199.97,1.29,2.04,351.2
70086,02.05.2010 17:30:00,982.29,10.7,285.31,9.42,91.8,12.88,11.83,1.06,7.52,12.04,1200.01,2.09,3.36,13.64
70092,02.05.2010 18:30:00,982.08,10.67,285.3,9.41,91.9,12.86,11.82,1.04,7.52,12.03,1199.88,1.57,2.6,353.9
70098,02.05.2010 19:30:00,982.22,10.49,285.11,9.36,92.7,12.7,11.78,0.93,7.49,11.99,1200.83,3.1,4.6,23.38
70104,02.05.2010 20:30:00,982.58,10.24,284.83,9.24,93.5,12.49,11.68,0.81,7.43,11.89,1202.38,1.52,2.8,13.17
70110,02.05.2010 21:30:00,982.56,10.05,284.64,9.08,93.7,12.34,11.56,0.78,7.35,11.76,1203.22,1.55,2.12,21.01
70116,02.05.2010 22:30:00,982.17,9.9,284.52,8.93,93.7,12.21,11.44,0.77,7.28,11.65,1203.43,1.92,2.76,23.8
70122,02.05.2010 23:30:00,981.97,9.83,284.47,9.04,94.8,12.15,11.52,0.63,7.33,11.73,1203.44,1.44,1.92,14.17
70128,03.05.2010 00:30:00,981.87,9.91,284.56,9.2,95.3,12.22,11.65,0.57,7.41,11.86,1202.92,0.89,1.16,283.1
70134,03.05.2010 01:30:00,981.4,9.76,284.44,9.03,95.2,12.1,11.52,0.58,7.33,11.73,1203.04,0.53,0.76,224.5
70140,03.05.2010 02:30:00,981.23,9.44,284.14,8.71,95.2,11.84,11.27,0.57,7.18,11.49,1204.31,1.19,1.64,237.3
70146,03.05.2010 03:30:00,980.98,9.37,284.09,8.66,95.3,11.78,11.23,0.55,7.15,11.45,1204.32,1.27,1.64,244.8
70152,03.05.2010 04:30:00,981.09,9.3,284.01,8.57,95.2,11.73,11.17,0.56,7.11,11.38,1204.78,0.49,0.84,228.3
