V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,F1,F2,F3,F4,F5,F6
Y4189,261.9044,246.2457,164.3308,193.0984,553.8545,753.1513,445.9598,425.545,685.5955,1047.291,743.2401,1414.371,935.423,1112.765,1230.619,1226.128,1324.799,1316.845,2019.071,,,,,,
Y4190,447.9692578,520.626875,947.0467969,866.9094531,986.4242188,1117.129609,1203.285781,1353.213438,1496.155,1659.169844,2084.64125,2522.080469,2946.060313,3107.387188,5094.80875,5637.83,5058.79,5786.694375,6901.871875,,,,,,
Y4191,1728.800011,1771.800041,1961.700058,2274.300003,2437.5,2746.299934,3360.200119,3844.900131,4247.900009,4173.400116,3988.499832,3538.399887,3661.100006,3891.799927,3774.700165,4088.499832,4095.800018,4044.599915,4195.600128,,,,,,
Y4192,131.5894844,149.9260625,240.8276719,290.4926563,334.6019063,384.4079688,430.5345313,483.3159375,536.1818125,598.6470625,950.305125,1297.2105,1634.070375,1927.20875,1822.754875,1964.8255,2256.6455,2932.467,3795.21725,,,,,,
Y4193,5639.17043,6221.091235,6366.069753,7271.671379,7012.757975,7456.977656,7272.950692,7480.633326,7700.167772,8230.986585,8490.207631,8545.301744,8547.169966,8672.016293,8677.784243,8808.173634,8931.079073,9389.483557,9835.432918,,,,,,
Y4194,4334.435,4663.343,5130.255,5469.013,7266.117,7561.238,6718.076,6664.822,6843.206,7118.028,7116.373,6338.435,6289.711,7004.787,8839.053,12817.75,22011.57,22485.8,22955.75,,,,,,
Y4195,3595.658,3468.586,3312.303,2849.083,2759.175,2585.765,2339.325,3003.576,3052.023,3127.813,3286.591,3226.496,3397.957,3274.354,3136.165,3117.738,3629.49,3714.655,4100.433,,,,,,
Y4196,608.232988,669.8403808,643.7972557,576.0291235,717.7261271,658.3590031,693.08317,800.0560067,963.7857578,1225.706302,1405.565979,1715.060241,2120.558761,2630.696008,3308.495504,3945.702249,4471.302966,4773.189504,4966.039658,,,,,,
Y4197,195.3079,149.5341,257.6294,262.9156,311.1527,237.053,258.0875,346.0896,459.6802,567.3412,801.3127,1448.296,1716.83,3145.094,4016.1,5409.421,,,,,,,,,
Y4198,813.0214529,900.5856909,1039.383693,1142.444301,1283.114746,1348.997621,1307.388722,1499.004862,1627.534082,1731.67071,1938.698495,2107.963937,2318.804388,2499.253652,2638.297359,2819.636245,2783.293,,,,,,,,
Y4199,165.49986,190.982918,205.5446654,222.066648,235.2282274,238.3926071,313.3389778,335.1778656,425.5225893,1204.638472,1279.655207,1463.987654,1590.230181,1810.723446,2790.484841,3348.575472,3272.166284,2751.406738,2587.444254,,,,,,
Y4200,2117.287,2023.669,2020.157,1878.417,1901.581,2032.13,2190.431,2407.496,2789.767,3661.222,4772.215,6868.374,9359.407,1392.422,1431.981,1414.168,1602.067,1504.43,1408.894,,,,,,
Y4201,807.5657,829.0648,902.1479,945.457,981.8562,1108.87,1130.504,1036.292,1140.148,1237.462,1360.199,1414.075,1616.837,1525.322,1518.976,1743.263,1975.77,1998.325,1908.642,,,,,,
Y4202,39.72838,42.31249,44.21455,47.64008,49.11109,61.66383,59.8713,59.74025,70.56458,81.123,86.66744,102.2474,124.3341,173.4753,249.8958,242.5976,297.6039,345.9313,407.0781,,,,,,
Y4203,1308.395,1318.75,1333.921,1366.653,1421.736,1408.242,1393.19,1388.93,1383.558,1406.218,1471.63,1699.641,1890.162,2065.91,2350.788,2523.477,2892.636,3209.813,3256.087,,,,,,
Y4204,197.3266,213.1862,245.3414,261.791,303.1224,324.9916,293.6683,255.354,272.4059,299.7599,330.5331,359.4437,515.851,572.5198,549.4958,627.1628,797.1284,854.0004,706.609,,,,,,
Y4205,1198.935,1295.209,1378.498,1401.249,1441.199,1495.918,1605.894,1483.227,1604.503,1740.002,2022.483,2451.186,2553.438,2568.891,2572.573,2683.797,2886.121,3177.531,3604.209,,,,,,
Y4206,1227.834,1868.694,2028.695,2095.913,2336.352,2494.528,2645.512,2612.594,2585.269,2637.699,2611.905,2591.351,2490.41,2307.623,2375.097,2442.492,5024.327,5404.839,5224.572,,,,,,
Y4207,174.4823047,196.3080859,219.4677148,251.7999219,290.9127344,311.4031445,328.5297656,356.871875,383.4473047,427.7362891,473.4563281,517.4816406,585.3055469,672.5427344,731.0082031,863.2645313,795.9157813,683.863125,846.8809375,,,,,,
Y4208,2695.814,3088.131,3527.331,3812.606,1614.514,1599.068,1762.264,2121.435,3290.06,3381.806,4311.126,4099.212,4753.148,3061.184,3845.362,2901.57,2980.659,2529.938,2962.929,,,,,,
Y4209,872.0951,849.9756,837.825,842.0953,887.474,871.1067,876.6769,671.0835,653.1832,696.8662,718.2378,865.9791,1140.026,1675.39,1457.565,1196.755,1229.391,1417.588,1696.278,,,,,,
Y4210,1234.5,1327.5,1374.5,1400.25,1407.75,1435.75,1471.25,1524.25,1577,1617.5,1653.25,1683,1738.5,1780.5,1835.75,1895.75,1961.75,2063,2153,,,,,,
Y4211,1139.039739,1253.289925,1325.5,1409.75,1459.5,1484.5,1487.25,1508.5,1543.75,1597,1655.5,1700.25,1742,1776.25,1835.5,1893.75,1953,2019.5,2105,,,,,,
Y4212,218.1396882,234.0213316,257.8439031,285.4032743,331.6470555,545.1157264,575.244299,620.0285894,647.3285811,697.9714121,715.1571342,763.7156759,809.4143016,996.4285578,1395.187123,1471.858536,1703.585727,2097.000054,1947.842836,,,,,,
Y4213,2863.702,2658.73,2721.891,2737.117,3381.562,3756.758,3575.41,3319.875,3040.75,2886.275,2640.592,2416.858,2682.903,2782.937,3043.85,3463.951,3606.206,4449.331,4829.104,,,,,,
Y4214,2983.448,3038.501,3076.864,3052.525,4355.687,4673.904,5201.052,5991.617,6913.282,5887.847,6021.17,9288.19,9152.726,4158.709,4018.214,9190.448,9374.161,8420.225,4626.506,,,,,,
Y4215,516.5481,550.1102,627.0543,785.428,736.0674,858.1519,991.4341,1167.644,1274.161,1142.654,1412.807,1611.693,2026.281,2107.017,2242.467,2550.666,2601.209,2823.271,3089.093,,,,,,
Y4216,321.2589,381.4925,430.4736,484.1178,604.3595,718.4506,804.3691,591.0778,602.6779,640.1042,837.5306,879.2203,1059.434,1191.786,1412.597,1317.684,1018.071,633.4176,629.209,,,,,,
Y4217,9207.160938,6729.94375,6339.560547,5494.223438,5314.609375,4688.916016,4709.450391,4420.555469,3549.933203,3483.365234,1569.872266,2681.31543,3110.537305,3336.426172,3252.485742,3816.133984,4908.760547,5350.549219,5549.630078,,,,,,
Y4218,48.37345,55.50212,62.37865,68.34779,76.27643,94.90727,99.78394,114.2343,124.6065,157.7264,183.6609,224.4937,283.8203,319.0943,394.1969,385.2082,551.3846,478.5033,458.9712,,,,,,
Y4219,3466,3485,3587,3791,3959,4157,4415,4637,4772,5035,5199,5206,5183,5366,5545,5655,5685,5646,5579,,,,,,
Y4220,1400,1380,1413,1473,1516,1575,1631,1690,1711,1802,1860,1845,1791,1808,1854,1887,1864,1824,1797,,,,,,
Y4221,2370,2360,2370,2480,2510,2560,2540,2540,2410,2460,2520,2610,2700,2680,2750,2880,2840,2800,2810,,,,,,
Y4222,2170,2150,2170,2280,2320,2370,2340,2350,2220,2280,2340,2440,2530,2510,2570,2680,2660,,,,,,,,
Y4223,1140,1130,1200,1280,1310,1370,1370,1370,1330,1460,1540,1540,1480,1460,1480,1460,1490,,,,,,,,
Y4224,1340,1290,1430,1640,1800,1920,1860,2010,2180,2260,2250,2330,2290,2320,2450,2500,2510,2390,2360,,,,,,
Y4225,1650,1670,1730,1750,1740,1720,1790,1850,1840,1920,1960,1890,1760,1700,1750,1760,1700,1690,1640,,,,,,
Y4226,2400,2410,2360,2390,2370,2480,2600,2840,3000,3040,3020,3060,2990,3200,3320,3440,3490,3410,3490,,,,,,
Y4227,392.2193359,424.7592578,673.7320313,705.0146875,833.2325,325.7496094,380.3107031,557.1661719,698.5858594,865.4882031,1269.975938,1745.971406,2218.197344,3323.495938,4939.890938,,,,,,,,,,
Y4228,7349.145,7142.927,7036.738,7739.249,8765.883,8076.027,8307.578,8416.633,7690.345,7045.075,7894.823,8240.612,9037.792,9111.012,9522.207,9254.517,9683.668,9944.369,9720.611,,,,,,
Y4229,904.632,909.4015,1009.208,1088.682,1207.272,1184.598,1441.429,1707.876,1522.603,1827.191,2158.353,2240.095,2334.065,2659.592,2857.572,2963.739,3370.874,3431.519,3759.377,,,,,,
Y4230,6397.474,5979.753,4698.284,4609.472,4401.88,4350.829,4345.356,4539.187,4713.225,4868.342,5056.604,5080.394,5694.594,5821.888,6240.076,6271.915,6388.907,6094.689,6297.252,,,,,,
Y4231,1366.084,1402.065,1391.233,1526.421,1582.514,1573.691,1696.769,1784.175,1969.086,2111.945,2440.739,3027.167,3371.865,3956.383,4409.329,4644.073,4864.008,4860.008,5017.92,,,,,,
Y4232,130.6655778,139.9988333,145.2487896,137.082191,147.5821035,151.0820743,160.9986583,158.3517793,153.5,166.5,184.5,200.5164818,275.8548899,301.6537362,329.2421586,332.3716472,327.9248097,493.5314815,608.4477778,,,,,,
Y4233,2039.74,2339.754,2442.675,2554.278,2339.553,2274.734,2193.746,2290.738,2377.399,2473.804,3192.559,3472.314,4359.032,4621.859,3659.747,4010.95,4774.514,5046.193,4899.658,,,,,,
Y4234,373.411641,360.4647158,376.6068494,350.04536,332.1100928,411.7901247,425.6453303,410.6172388,457.443474,564.7762825,635.3012002,666.2694049,580.2118004,668.0044483,923.5283275,1080.024693,1070.606878,1086.624709,1271.553708,,,,,,
Y4235,344.0894,356.0994,370.8488,409.0153,465.5851,552.52,627.0449,688.6819,773.3143,965.9773,1163.456,1265.215,1294.627,1411.533,1479.293,1624.489,1706.124,1949.671,2240.302,,,,,,
Y4236,3985.735,4018.319,4066.589,4232.059,4401.243,4428.632,4459.134,4463.35,4576.925,4637.912,4640.211,4922.662,5294.916,5602.504,6066.146,9154.595,7093.192,7246.566,7744.917,,,,,,
Y4237,1435.056667,1752.169167,2066.155834,2393.89,2749.450833,3056.94,3316.93,3574.430833,3890.050834,4284.919167,4591.245,4935.024167,5429.446667,5840.026667,6239.820833,6640.711667,7145.825,,,,,,,,
Y4238,1072.580001,1259.9575,1507.6675,1788.57,2088.727501,2386.8075,2704.389999,3061.225001,3320.635,3562.785,3790.25,4103.4325,4483.5025,4767.1475,5250.2,5729.355,6222.3675,6684.25,7229.55,,,,,,
Y4239,2566.176,2633.177,2704.783,2721.413,2798.3,2837.808,2834.902,2885.295,2835.671,2892.769,2954.774,2953.611,2722.928,2471.804,2472.017,2510.947,2638.76,2697.506,2670.563,,,,,,
Y4240,2648.412,2835.325,1426.998,2804.257,2628.953,2518.761,2501.288,2303.467,2025.055,1959.321,1788.186,1650.421,1661.885,1784.799,2232.449,2332.02,3135.67,2894.971,2743.089,,,,,,
Y4241,2403.88,2490.469,2623.794,3251.264,3276.979,3331.046,3157.819,2743.859,2853.752,2816.943,2893.921,3097.786,3081.411,2891.252,2908.744,2441.251,2696.22,2000.51,2419.291,,,,,,
Y4242,1060.305,1046.062,1028.504,1030.868,1090.325,1116.4,1179.364,1246.14,1281.632,1287.161,1277.683,1243.703,1251.178,1266.16,1257.862,1272.623,1245.176,1216.656,1193.474,,,,,,
Y4243,140.6432689,140.702666,143.8767407,122.3818202,130.665205,168.3403361,175.0630252,185.5555556,177.1260504,195.3613445,214.2184874,215.8178752,235.2093802,262.25,323.037594,336.9329529,305.6361474,352.378805,250.128123,,,,,,
Y4244,1766.337,1779.808,1981.2,2216.237,2481.735,2753.494,2927.863,3155.71,3304.048,3372.765,3421.592,3345.802,3412.621,3545.095,3588.114,3557.256,3404.427,3754.49,4104.488,,,,,,
Y4245,1232.844,1191.883,1163.419,1135.869,1157.508,1239.391,1562.406,1657.605,1740.898,1907.251,1963.981,1839.942,1786.181,1683.165,1589.551,1413.744,1357.722,1245.953,2259.547,,,,,,
Y4246,1640.733,1681.871,1846.789,1846.623,1858.805,1867.264,1904.29,1861.903,1869.516,1878.338,2024.615,2229.355,2337.625,2441.841,2662.891,2710.14,2676.479,2618.043,3098.757,,,,,,
Y4247,3071.771,2797.539,2403.043,2463.412,2309.525,2410.92,2673.725,2747.617,2934.469,2984.212,3546.561,3303.18,3298.269,3970.742,3166.463,3200.579,3291.52,3788.333,4137.56,,,,,,
Y4248,1305.969,1436.575,1606.038,1650.505,1753.811,1996.077,2269.782,2553.523,2684.66,2694.266,3185.819,3749.226,4170.119,4857.831,5506.581,5867.572,5871.308,5119.813,3521.337,,,,,,
Y4249,47.43725,53.89563,59.99098,60.20284,67.10304,76.07567,90.35192,99.72271,110.2744,116.2098,124.4054,140.2292,167.1829,193.7382,207.7346,224.5246,258.0928,288.7977,315.6292,,,,,,
Y4250,1083.823,1128.964,1297.375,1530.365,1583.986,1835.128,2135.61,2404.352,2532.242,2881.123,2799.474,3204.225,5792.234,4977.619,6246.795,7209.688,10054.41,9452.816,8165.574,,,,,,
Y4251,2297.809,2253.141,2249.021,2237.997,2196.799,2127.714,2340.649,2348.081,2320.457,2532.738,2798.559,3121.882,3300.217,3094.003,2315.219,2489.031,2900.239,3066.883,3455.594,,,,,,
Y4252,244.1846,514.2459,601.6828,787.5987,557.1383,1147.048,2859.349,1793.265,1273.063,1521.14,1176.574,2184.883,1522.04,1753.34,1872.444,1737.143,1520.254,1451.742,1421.517,,,,,,
Y4253,2209.000015,2266.200066,2809.700012,3141.300011,3470.299911,3646.900177,4220.999908,4090.499878,4120.199966,4683.100128,4105.099869,4718.299866,5424.700165,6797.699738,5986.500168,7045.400238,7558.499908,8612.400055,9325,,,,,,
Y4254,170.4364063,174.3429688,168.293375,179.6216563,186.8948906,198.0492031,197.603625,183.1835469,185.766625,181.754125,187.9950313,219.5761406,249.8278438,289.751125,294.8114063,254.3095469,227.7542188,261.4786094,293.2901875,,,,,,
Y4255,7460,7010,7130,6670,6650,6610,6610,6650,6480,6210,6280,6160,6110,6010,5390,5180,5530,5710,5610,,,,,,
Y4256,2611.804993,2639.911031,2765.702689,2885.667485,2955.93258,2976.497974,3067.671219,3154.731385,3233.908151,3278.466504,3352.159164,3459.099211,3478.293579,3557.127588,3615.053447,3799.425999,3969.319031,3930.706979,3848.656366,,,,,,
Y4257,4158.222,4236.15,4223.8,4255.431,4312.578,4345.294,4247.033,4315.565,4378.109,4309.21,4318.882,4402.75,4540.925,4401.089,4140.547,4034.398,4115.043,4108.855,4030.947,,,,,,
Y4258,1236.266,1229.16,1172.363,1118.225,1066.85,2272.637,2436.091,2343.912,5164.848,2641.789,2631.092,2740.148,2889.524,2779.152,2684.963,2575.484,2574.502,2558.145,2659.29,,,,,,
Y4259,240,257,369,414,538,665,841,1154,1738,2113,2185,2571,3071,3516,3954,4290,4400,4618,5129,,,,,,
Y4260,9507.167,10263.65,12054.06,15384.45,19850.24,6513.019,2887.667,3071.049,3112.195,3070.449,3574.036,3994.49,4437.541,5061.707,5569.351,5870.006,7094.193,7933.11,,,,,,,
Y4261,1785.204,1764.293,1526.928,1133.8475,1519.938,1305.546,1605.285,1482.747,2183.122,2634.072,3356.732,3895.51,3906.0345,4021.9235,2057.601,1972.618,1815.487,1700.1965,1692.0745,,,,,,
Y4262,136.4299015,142.6144436,152.9585753,164.1658701,180.0219966,196.7714632,212.8474947,227.2212269,247.9106076,269.0384962,300.2116152,334.3185358,382.2742665,462.8419636,539.649893,595.8799665,647.6133368,731.8321125,868.5246429,,,,,,
Y4263,4181.181,4403.634,4674.815,4580.065,4203.075,4426.752,4869.346,4998.376,5209.866,5317.048,5344.403,5411.354,5406.373,5662.963,6179.374,6250.88,6368.217,6553.936,6757.178,,,,,,
Y4264,342.5474059,405.0516831,474.2760338,590.9966089,658.8641822,608.2858549,654.8297461,635.9215718,603.4649117,655.3777109,788.5789252,960.0265873,1134.973035,1298.405921,1457.94845,1767.384459,2199.425951,1912.453444,,,,,,,
Y4265,104.6517903,110.6785264,119.8328109,129.1622646,140.92598,153.4158577,168.617487,181.3956336,198.8025374,218.377914,238.65224,264.7977726,307.6927355,372.9426562,420.766346,469.4744462,509.9948808,576.7917981,692.5706208,,,,,,
Y4266,692.4129139,706.6420532,679.1103321,704.4835185,721.5592981,763.4071065,873.0479026,990.6579349,1119.016828,1385.489788,1308.178414,1511.898803,1728.711245,1835.914289,1984.629477,2170.911663,2174.243232,1959.196414,2172.766375,,,,,,
Y4267,437.5780522,459.8341548,512.7061822,564.2895362,604.7346296,693.068474,876.5758838,1113.297935,1223.533125,1300.78674,1454.793838,1556.69759,1865.492976,2204.834167,2359.079297,2295.860435,2388.423342,2406.037142,2543.934236,,,,,,
Y4268,102.6279322,108.5084375,117.428788,126.5044146,138.0158015,150.2552108,165.1379371,177.5173076,194.3957027,213.4097212,233.0971751,258.3567032,300.1978801,363.4910011,405.6864329,453.140987,490.739526,554.7104169,667.1766872,,,,,,
Y4269,133.9350975,139.9589344,149.9988877,162.164906,177.9079846,194.2808711,210.6005256,225.2343967,245.1343257,269.830731,295.1869006,325.9804761,378.0068041,460.7552876,529.1067562,589.1260796,637.7008044,719.9450823,850.147471,,,,,,
Y4270,2584.224174,2894.428513,3188.36013,3607.347927,3973.061412,4142.170865,4446.338481,4745.067548,5046.668707,5433.428181,5889.76582,6168.164709,6359.351217,6498.946416,6746.522576,7004.55521,7366.47718,7681.003938,7988.848486,,,,,,
Y4271,4703.589399,4881.73156,5088.208191,5258.702254,5425.588675,5469.485506,5627.546931,5888.115606,6209.340353,6470.266645,6839.060652,7148.058287,7474.37388,7845.76084,8160.82422,8369.389707,8590.9962,,,,,,,,
Y4272,2403.856254,2722.319563,3120.09074,3535.094363,4039.61187,4430.020945,4746.607379,5008.901581,5244.167521,5453.345937,5744.395231,6081.884138,6459.002236,6725.535277,6927.550415,6994.90969,7101.820702,7310.635995,7486.173488,,,,,,
Y4273,1212.931484,1454.46333,1744.869859,1989.186788,2252.3948,2604.01757,3075.06907,3540.02684,3766.08681,3684.29063,3804.92472,4124.69688,4524.4501,4910.3629,5322.5564,5644.1834,,,,,,,,,
Y4274,1387.373413,1423.119274,1463.336268,1548.423646,1641.619612,1740.352089,1796.080433,1845.660027,1909.054387,1990.865928,2097.432823,2234.781068,2383.101245,2556.417511,2726.601789,2853.361089,2931.902792,3010.469665,,,,,,,
Y4275,1558.265786,1623.833226,1818.229092,2053.0108,2281.853942,2466.615336,2686.951316,2967.570029,3334.889027,3733.386,3965.783511,4012.573397,4146.819096,4319.629598,4473.549914,4564.847156,4771.638459,5022.798949,5347.172562,,,,,,
Y4276,675.0207456,720.7948284,792.0659181,884.4322211,971.558268,1036.675386,1153.643496,1285.640309,1454.951865,1633.564038,1800.170893,1988.097756,2102.627363,2233.64094,2459.70612,2634.642849,2791.101487,2986.374093,3226.690262,,,,,,
Y4277,2341.845006,2459.745646,2619.884474,2756.18583,3025.451965,3370.119546,3487.539551,3356.285931,3502.376925,3593.443215,3704.602821,4050.290234,4239.476677,4324.674318,4405.702145,4508.407696,4673.737463,4749.732758,5053.161642,,,,,,
Y4278,1493.235465,1532.434821,1602.384328,1682.433274,1763.305079,1898.382548,1953.887674,1968.577982,2068.227888,2200.560348,2372.163719,2480.799858,2505.46767,2507.415006,2593.549871,2627.742642,2647.459435,2706.999726,2755.368572,,,,,,
Y4279,861.0839093,935.405697,1004.142215,1133.042161,1233.683385,1239.810185,1340.926321,1447.777239,1531.110094,1654.895904,1791.030653,1847.022103,1888.018872,1910.603056,1993.408169,2103.317,2213.899648,2310.260199,2396.265669,,,,,,
Y4280,520.5515161,582.3593122,656.6184649,725.1335171,808.0841075,876.6210651,930.6281944,973.4572759,1004.993765,1037.401473,1070.969313,1123.525652,1183.202288,1220.678724,1244.705507,1231.795859,1237.151033,1268.407845,1284.240019,,,,,,
Y4281,3215.999063,3275.439249,3590.339921,3932.935241,4184.334659,4377.382949,4734.634754,5199.682964,5735.031409,6351.662271,6496.496836,6376.842926,6535.957384,6722.165981,6842.298262,7090.318546,7497.605959,7806.017778,8217.656044,,,,,,
Y4282,751.0053084,739.8317814,743.2298919,775.2169603,840.5621088,879.5453653,920.8022312,929.1114924,908.1850842,917.3292741,930.6156193,990.8092082,1058.39726,1123.122184,1196.170207,,,,,,,,,,
Y4283,1832.166379,1871.963507,2058.183126,2328.773492,2528.941877,2553.127982,2902.219309,3285.214734,3698.804549,4140.058418,4425.382948,4839.407304,4855.808877,5041.22689,5552.66369,5813.146208,5986.828899,6200.137161,6615.270385,,,,,,
Y4284,3265.031319,3461.830112,3698.37325,3860.555148,4174.024596,4618.186481,4810.29799,4687.752342,4793.011134,4857.254146,4951.428981,5302.227315,5559.793072,5632.628795,5695.566659,5765.412121,5964.447451,6131.398058,6540.197338,,,,,,
Y4285,517.4986464,601.1343711,657.0297614,805.8906487,967.6195209,1137.187701,1282.723542,1422.551668,1400.515533,1498.565612,1718.550794,2058.592632,1968.125555,1934.612565,1959.106323,2151.188012,2318.564549,2718.550971,3091.710748,,,,,,
Y4286,3499.575622,3437.054647,3405.65059,3371.410357,3368.964401,3386.608677,3593.147575,3880.753405,4044.103284,4345.785047,4581.906315,4907.72884,5273.873189,5318.710404,5393.742656,5554.26765,5742.701035,,,,,,,,
Y4287,886.6747811,1147.681957,1327.890278,1486.305495,1506.104011,1677.194808,1849.578788,1959.000572,2146.31509,2370.294563,2722.884257,3083.68787,3316.040211,3325.707056,3239.442426,3311.923051,3442.970622,3675.666277,3535.485084,,,,,,
Y4288,2761.79378,3070.77426,3230.48067,3366.22448,3523.04095,3534.23536,3588.27568,3635.02695,3416.04049,3292.80661,3288.40333,3131.69611,2988.77962,2874.06018,2826.22406,,,,,,,,,,
Y4289,944.5309407,1026.184076,1060.286345,1111.744771,1160.535026,1222.110174,1242.09669,1265.257388,1286.602467,1346.507799,1436.082074,1544.074175,1671.439806,1788.786123,1930.820559,2019.949779,2024.823689,2088.208751,,,,,,,
Y4290,1305.291145,1324.330711,1503.272879,1624.431949,1777.492208,1943.106681,2086.607491,2223.265957,2619.140178,3163.642009,3391.025989,3175.621069,3057.645177,2909.483639,2872.078826,2658.111789,2760.746948,2986.865359,3264.367901,,,,,,
Y4291,1904.243796,1877.730564,1784.35212,1826.258573,2101.581749,2245.405083,2418.624038,2711.637228,2684.900209,2864.438757,3053.946248,3010.94922,3399.72077,3843.223113,4552.412303,,,,,,,,,,
Y4292,1129.985136,1164.638185,1197.168112,1238.399019,1291.263202,1288.319735,1334.190729,1380.578174,1493.075636,1571.447388,1655.309832,1708.751841,1774.037441,1820.270282,1879.544163,1927.62249,1972.068727,,,,,,,,
Y4293,1749.841539,1998.882023,2239.254354,2568.413139,2814.925157,3022.045024,3403.822284,3871.779413,4144.085546,4483.578682,4940.128941,5520.974491,6086.023394,6358.959795,6682.198994,6830.240942,7216.757405,7714.105314,8275.659071,,,,,,
Y4294,657.3063535,747.1292014,849.6468221,942.4435855,1004.788761,1089.259477,1138.808662,1201.948438,1279.141537,1351.907754,1430.758025,1471.074082,1526.093732,1534.599514,1537.191843,1560.333618,1580.800313,1599.648343,1651.521367,,,,,,
Y4295,6241.4049,6701.2193,6881.4384,7049.5472,7084.9442,7233.0572,7300.469,7357.244,7195.7521,6914.6206,6863.1063,6674.2441,6353.7471,6222.9961,5994.4826,,,,,,,,,,
Y4296,995.6970123,971.4547098,989.5425962,1028.392594,1102.929955,1170.209845,1245.2063,1279.274338,1285.738301,1295.246392,1304.045635,1394.591187,1472.051688,1569.98057,1695.037857,,,,,,,,,,
Y4297,400.8006093,432.3308638,473.9187072,526.3744181,582.6323119,624.3951952,694.0943887,770.8450502,875.2413092,987.3397286,1083.441663,1193.761541,1256.34956,1327.322863,1450.082991,1541.588983,1622.055545,1714.258265,1838.154809,,,,,,
Y4298,849.1683671,913.9431097,1004.949825,1098.568065,1196.249916,1249.742673,1312.852217,1356.403007,1416.611,1478.977371,1578.722086,1687.378844,1805.752157,1899.222904,2001.212547,2090.061144,2167.992769,,,,,,,,
Y4299,737.5434074,815.5522357,899.4831535,980.3864531,1112.558526,1160.038871,1239.791698,1303.126971,1370.404294,1494.584466,1635.585743,1816.799092,2017.651499,2173.194304,2274.804431,2316.97875,2416.458738,2577.697222,2705.466809,,,,,,
Y4300,167.366414,195.7839304,221.3620658,254.2513025,292.6983942,321.8856226,352.9696618,379.9782368,411.9910106,452.7472713,499.9399391,537.1706467,568.1178974,591.2348599,624.9094081,657.818652,701.9639062,746.131926,792.1619007,,,,,,
Y4301,800.6086956,937.5603944,1040.526444,1129.382518,1314.906129,1621.430343,1878.297902,2142.779203,2439.511053,2794.479297,3189.439331,3574.481013,4100.469945,4809.887787,5530.302985,6160.160635,6238.783967,5823.313382,5543.71463,,,,,,
Y4302,2004.701573,2118.084459,2251.843135,2451.998314,2654.797051,2862.778482,3044.004958,3217.643463,3477.248034,3829.889018,4253.840062,4721.188324,5187.08504,5666.96008,6099.164243,6353.068682,6491.0846,6699.767212,,,,,,,
Y4303,5038.897203,5010.664663,5169.51404,5375.43905,6089.429411,6653.789172,7431.313483,8019.611901,8387.045521,8670.652496,8975.308193,9474.347039,10262.84477,10965.72986,11819.15936,,,,,,,,,,
Y4304,173.8692897,188.536515,209.2772515,237.4458646,264.4398003,291.2652907,327.0942358,371.3277746,435.7754808,509.078999,592.3191569,676.3006542,761.6928582,864.0423991,982.4765603,1102.230952,1231.614024,1391.853001,1541.542581,,,,,,
Y4305,176.2987241,194.3467242,221.075473,254.1569988,306.6243789,359.2783081,413.2543722,457.8572362,502.4741831,573.7333882,653.788763,788.029305,846.9731809,884.075461,973.4742645,1069.370998,1147.179314,1265.600633,1400.255661,,,,,,
Y4306,687.7204653,779.2549311,873.6381719,994.2024303,1102.10127,1175.710551,1271.802128,1356.603077,1460.958089,1575.110817,1710.017143,1811.53465,1882.597744,1933.74805,2020.420786,2103.445342,2214.143314,2323.259292,2442.614404,,,,,,
Y4307,1045.913571,1197.110367,1371.535463,1528.616044,1652.316942,1790.361454,1895.465189,2023.879651,2185.09013,2349.680781,2549.130184,2652.023358,2753.162546,2780.552943,2819.723888,2897.20594,2962.851811,3045.109525,3205.26999,,,,,,
Y4308,540.8727162,663.8154639,799.524342,945.5347181,1080.433266,1211.727993,1310.625606,1433.755065,1568.015183,1725.574988,1903.783328,2090.35423,2241.567184,2243.175442,2290.843634,2423.927441,2562.694602,2665.629125,2711.360199,,,,,,
Y4309,517.3249531,538.3520069,565.313012,606.809487,655.8834604,700.6813944,731.6237381,764.4960049,805.2139304,860.4986807,920.2029672,995.3036364,1075.313991,1162.993099,1242.032943,1285.471883,1306.951802,1344.359115,,,,,,,
Y4310,5016.145703,5372.398186,5814.238032,6288.044834,6692.598741,6905.504126,7164.658509,7326.3744,7480.345407,7638.240108,7964.572499,8250.600838,8567.119892,8747.416294,8958.341052,9151.667447,9339.940836,,,,,,,,
Y4311,4172.962459,4299.3925,4533.996869,4785.307378,5113.673032,5469.70284,5714.422887,5900.034662,6203.375836,6637.206153,7230.255862,7793.605159,8228.521438,8419.160424,8683.132278,8947.94564,9089.408703,9454.478677,9710.906538,,,,,,
Y4312,1965.51754,2219.449093,2518.294137,2770.006331,2970.530438,3167.835449,3317.517022,3497.965132,3721.517525,3966.160409,4254.892759,4410.55329,4553.978524,4566.163848,4608.846784,4717.337243,4795.695424,4892.502915,5061.912642,,,,,,
Y4313,1772.83332,1901.48569,1939.02287,1953.16767,1968.6591,1995.58706,2005.63188,2034.29349,1970.84747,1904.23467,1891.15352,1836.19013,1758.36435,1701.58099,1673.19697,,,,,,,,,,
Y4314,4164.36058,4808.287368,5381.784664,5580.930125,5609.379477,5744.687369,6108.630903,6595.510568,7328.946297,7818.395358,8633.88824,9159.792106,9313.030853,9246.843225,9541.809826,9767.63114,10117.60876,10338.98995,10578.43975,,,,,,
